title;price;condition;location;link
Asus TUF RTX5070 12GB GDDR7 / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;409,000֏;Новое;Кентрон;https://www.list.am/ru/item/23052254?ld_src=2
Sapphire rx 6700 xt nitro +;120,000֏;Использованное;Нор Норк;https://www.list.am/ru/item/20259483?ld_src=2
Gigabyte gaming oc rtx 5070 12gb (rtx5070);320,000֏;Новое;Канакер-Зейтун;https://www.list.am/ru/item/24123467?ld_src=2
Gigabyte Geforce Rtx 3070;140,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/22752126?ld_src=2
Nvidia GeForce Professional Quadro NVS 285 128MB DVI VGA, S-Video - Video Graphics Card տեսաքարտ видеокарта;4,000֏;Использованное;Арабкир;https://www.list.am/ru/item/21824529?ld_src=2
Պահեստամաս вентиляторы Sparkle GeForce GTX 660 Vide Card -ի Հովացման համակարգ -ի охлаждения кулер cooler;12,000֏;Использованное;Арабкир;https://www.list.am/ru/item/21700163?ld_src=2
Palit GeForce RTX 5050 STORMX 8GB GDDR6 / 1 տարի երաշխիք;144,900֏;Новое;Кентрон;https://www.list.am/ru/item/23425979?ld_src=2
VGA Asus Dual RTX 5060TI-O8G 8GB (90YV0MP2-M0NA00) / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;246,900֏;Новое;Кентрон;https://www.list.am/ru/item/23815356?ld_src=2
Խաղային Asus GeForce GTX1650 4GB GDDR5 DP + HDMI + DVI-i Video Graphics Card տեսաքարտ видеокарта Վիդեո;69,900֏;Использованное;Арабкир;https://www.list.am/ru/item/23081459?ld_src=2
Sapphire Nitro Radeon RX 5700 XT 8 ГБ видеокарта, 3 вентилятора;55,000֏;Использованное;Нор Норк;https://www.list.am/ru/item/24161673?ld_src=2
Տեսաքարտ / Վիդեո քարտ - Palit GeForce RTX 5050 DUAL 8GB GDDR6 (1 տարի երաշխիք);149,000֏;Новое;Кентрон;https://www.list.am/ru/item/23268944?ld_src=2
Տեսաքարտ / Վիդեո քարտ - Palit GeForce RTX 5050 STORMX 8GB GDDR6 (1 տարի երաշխիք);144,900֏;Новое;Кентрон;https://www.list.am/ru/item/23416199?ld_src=2
VideoCard AMD Radeon R5 230 1 GB DDR3 64BIT 625MHz 28nm Video Graphics Card տեսաքարտ видеокарта Վիդեո քարդ;20,000֏;Использованное;Арабкир;https://www.list.am/ru/item/21829669?ld_src=2
Nvidia Tesla T4 16GB GDDR6 pci-e 3.0 GPU видеокарта;210,000֏;Новое;Арабкир;https://www.list.am/ru/item/24083825?ld_src=2
Видеокарта - Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC 16GB (гарантия 1 год);454,900֏;Новое;Кентрон;https://www.list.am/ru/item/24071121?ld_src=2
Տեսաքարտ / Վիդեո քարտ - ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 (1 տարի երաշխիք);246,900֏;Новое;Кентрон;https://www.list.am/ru/item/22656553?ld_src=2
Տեսաքարտ / Վիդեո քարտ - ASUS Dual GeForce RTX 5050 8GB GDDR6 (1 տարի երաշխիք);152,900֏;Новое;Кентрон;https://www.list.am/ru/item/23048707?ld_src=2
Видеокарта / Видеокарта - Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC ICE 16GB (1 год гарантии);474,900֏;Новое;Кентрон;https://www.list.am/ru/item/24071210?ld_src=2
Տեսաքարտ / Վիդեո քարտ - MSI GeForce RTX 5060 8GB VENTUS 2X OC GDDR7 (1 տարի երաշխիք);211,000֏;Новое;Кентрон;https://www.list.am/ru/item/22563040?ld_src=2
Colorful GT720 Smart Shark 2GB GDDR5 5000MHZ 28nm Gaming Card տեսաքարտ видеокарта GT 720;18,000֏;Использованное;Арабкир;https://www.list.am/ru/item/21824561?ld_src=2
Видеокарта - Gigabyte GeForce RTX 5070 Ti 16GB GAMING OC Edition GDDR7 (1 год гарантии);559,900֏;Новое;Кентрон;https://www.list.am/ru/item/24036516?ld_src=2
Asus Phoenix RTX 3060;95,000֏;Использованное;Степанаван;https://www.list.am/ru/item/24222608?ld_src=2
VIDEOCARD-եր տարբեր տեսակի Nvidia GeForce ATI radeon GT RTX Video Graphics Card տեսաքարտ видеокарта Վիդեո քար;3,900֏;Использованное;Арабкир;https://www.list.am/ru/item/21700096?ld_src=2
Տեսաքարտ SAPPHIRE Nitro AMD Radeon RX 6700 XT 12GB GDDR6 192-bit (Օգտագործված);129,000֏;Использованное;Гюмри;https://www.list.am/ru/item/23699680?ld_src=2
Տեսաքարտ Asus PRIME Geforce RTX 5060 Ti 8GB GDDR7 128-bit 4608 CUDA;239,000֏;Новое;Гюмри;https://www.list.am/ru/item/23699388?ld_src=2
Gigabyte gt 1030 d4 2gb ddr4 64bit;47,000֏;Новое;Гюмри;https://www.list.am/ru/item/23332699?ld_src=2
AMD Radeon RX 5700 XT Soyo;20,000֏;Использованное;Чаренцаван;https://www.list.am/ru/item/22084758?ld_src=2
MSI Ventus 3x NVIDIA Geforce RTX 3060 12GB;129,000֏;Использованное;Аван;https://www.list.am/ru/item/24130908?ld_src=2
RX 6800 XT Gigabyte Eagle 16 GB;115,000֏;Использованное;Арабкир;https://www.list.am/ru/item/24152245?ld_src=2
Videocard asus asus dual-rtx3050-o8g;118,000֏;Новое;Кентрон;https://www.list.am/ru/item/21811830?ld_src=2
Zotac GT240 1GB 128bit;6,000֏;Использованное;Кентрон;https://www.list.am/ru/item/22076765?ld_src=2
Asus ROG RTX 2060 super 8gb rtx2060;79,000֏;Использованное;Кентрон;https://www.list.am/ru/item/21946939?ld_src=2
Dell oem nvidia rtx 3060ti 8gb desktop gaming graphics card;89,900֏;Использованное;Кентрон;https://www.list.am/ru/item/23288318?ld_src=2
